id,label,value,url,icao,name
2010,Boeing 757 (B757),Boeing 757 (B757),boeing-757-b757,B757,Boeing 757
241,Boeing 757-200 (B752),Boeing 757-200 (B752),boeing-757-200-b752,B752,Boeing 757-200
2098,Boeing 757-200PF (B752),Boeing 757-200PF (B752),boeing-757-200pf-b752,B752,Boeing 757-200PF
2099,Boeing 757-200SF (B752),Boeing 757-200SF (B752),boeing-757-200sf-b752,B752,Boeing 757-200SF
242,Boeing 757-300 (B753),Boeing 757-300 (B753),boeing-757-300-b753,B753,Boeing 757-300
2012,Boeing 777 (B777),Boeing 777 (B777),boeing-777-b777,B777,Boeing 777
2021,Boeing 777 Freighter (B77F),Boeing 777 Freighter (B77F),boeing-777-freighter-b77f,B77F,Boeing 777 Freighter
246,Boeing 777-200 (B772),Boeing 777-200 (B772),boeing-777-200-b772,B772,Boeing 777-200
2024,Boeing 777-200ER (B77E),Boeing 777-200ER (B77E),boeing-777-200er-b77e,B77E,Boeing 777-200ER
2022,Boeing 777-200LR (B77L),Boeing 777-200LR (B77L),boeing-777-200lr-b77l,B77L,Boeing 777-200LR
247,Boeing 777-300 (B773),Boeing 777-300 (B773),boeing-777-300-b773,B773,Boeing 777-300
2023,Boeing 777-300ER (B77W),Boeing 777-300ER (B77W),boeing-777-300er-b77w,B77W,Boeing 777-300ER
27,Airbus A320 (A320),Airbus A320 (A320),airbus-a320-a320,A320,Airbus A320
2058,Airbus A320-100 (A320),Airbus A320-100 (A320),airbus-a320-100-a320,A320,Airbus A320-100
2059,Airbus A320-200 (A320),Airbus A320-200 (A320),airbus-a320-200-a320,A320,Airbus A320-200
2127,Airbus A320neo (A20N),Airbus A320neo (A20N),https://en.wikipedia.org/wiki/List_of_ICAO_aircraft_type_designators,A20N,Airbus A320neo
147,ATR 42-320 (AT43),ATR 42-320 (AT43),atr-42-320-at43,AT43,ATR 42-320
384,Cessna 320 Skyknight (C320),Cessna 320 Skyknight (C320),cessna-320-skyknight-c320,C320,Cessna 320 Skyknight
890,HFB HFB-320 Hansa (HF20),HFB HFB-320 Hansa (HF20),hfb-hfb-320-hansa-hf20,HF20,HFB HFB-320 Hansa
1289,Nord 3202 (N320),Nord 3202 (N320),nord-3202-n320,N320,Nord 3202
1605,Piel CP-1320 Saphir (SAPH),Piel CP-1320 Saphir (SAPH),piel-cp-1320-saphir-saph,SAPH,Piel CP-1320 Saphir
652,Embraer ERJ-135 (E135),Embraer ERJ-135 (E135),embraer-erj-135-e135,E135,Embraer ERJ-135
2030,Embraer ERJ-140 (E140),Embraer ERJ-140 (E140),embraer-erj-140-e140,E140,Embraer ERJ-140
