Aircraft,Aircraft_id,Short
Boeing 777-300 (B773),247,B773
Embraer ERJ-190 (E190),655,E190
ATR 72 (AT7X),2032,AT7X
Boeing 737 (B73X),2009,B73X
Boeing 737-700 (B737),230,B737
Boeing 737-800 (B738),231,B738
Airbus A320 (A320),27,A320
Boeing 777 (B777),2012,B777
Boeing 757-200 (B752),241,B752
Airbus A321 (A321),28,A321
Boeing 777-300ER (B77W),2023,B77W
Airbus A380-800 (A388),39,A388
Airbus A330-200 (A332),30,A332
Boeing 787-9 (B789),2088,B789
Boeing 767 (B767),2011,B767
Airbus A320-200 (A320),2059,A320
Airbus A330-300 (A333),31,A333
Airbus A319-100 (A319),2073,A319
Airbus A321-200 (A321),2076,A321
Airbus A320neo (A20N),2127,A20N
Airbus A321LR (A21N),2181,A21N
Airbus A350-900 (A359),2110,A359
Boeing 777-200ER (B77E),2024,B77E
Airbus A319 (A319),26,A319
Airbus A319neo (A19N),2126,A19N
Airbus A321-100 (A321),2075,A321
Boeing 737-200 (B732),225,B732
Boeing 737-900 (B739),232,B739
Boeing 777-200 (B772),246,B772
Boeing 787-8 (B788),2087,B788
